"BookNumber","BookName","BookShortName"
"1","Bereshit (בְּרֵאשִׁית) — Бытие","1Mo"
"2","Schemot (שְׁמֹות) — Исход","2Mo"
"3","Vajikra (וַיִּקְרָא) — Левит","3Mo"
"4","Bemidbar (בְּמִדְבַּר) — Числа","4Mo"
"5","Devarim (דְּבָרִים) — Второзаконие","5Mo"
"6","Jehoschua (יְהוֹשֻעַ) — Иисус Навин","Jos"
"7","Schophtim (שֹׁפְטִים) — Книга Судей","Ri"
"9","Schmu’el (שְׁמוּאֵל) א — 1 Царств 1","1Sam"
"10","Schmu’el (שְׁמוּאֵל) ב — Царств 2","2Sam"
"11","Mlachim (מְלָכִים) א — Царств 3","1Kö"
"12","Mlachim (מְלָכִים) ב — Царств 4","2Kö"
"23","Jeschajahu (יְשַׁעְיָהוּ) — Исаия","Jes"
"24","Jirmejahu (יִרְמְיָהוּ) — Иеремия","Jer"
"26","Jecheskiel (יְחֶזְקֵאל) — Иезекииль","Hes"
"28","Hoschea (הוֹשֵׁעַ) — Осия","Hos"
"29","Jo’el (יוֹאֵל) — Иоиль","Joe"
"30","Amos (עָמוֹס) — Амос","Am"
"31","‘Ōvadhyāh (עֹבַדְיָה) — Авдия","Ob"
"32","Yônāh (יוֹנָה) — Иона","Jon"
"33","Mîkhāh (מִיכָה) — Михей","Mi"
"34","Nakḥûm (נַחוּם) — Наум","Nah"
"35","Khăvhakûk (חֲבַקּוּק) — Аввакум","Hab"
"36","Tsĕphanyāh (צְפַנְיָה) — Софония","Zeph"
"37","Khaggai (חַגַּי) — Аггай","Haggai"
"38","Zkharyāh (זְכַרְיָה) — Захария","Sach"
"39","Mal’ākhî (מַלְאָכִי) — Малахия","Mal"
"19","Tehillim (תְהִלִּים) — Псалтирь","Ps"
"20","Mishlei (מִשְׁלֵי) — Притчи","Spr"
"18","Iyyôbh (אִיּוֹב) — Иов","Hi"
"22","Shīr Hashīrīm (שִׁיר הַשִּׁירִים) — Песнь Песней","Hl"
"8","Rūth (רוּת) — Руфь","Rt"
"25","Eikhah (אֵיכָה) — Плач Иеремии","Kla"
"21","Qōheleth (קֹהֶלֶת) — Екклесиаст","Pred"
"17","Estēr (אֶסְתֵר) — Есфирь","Est"
"27","Dānî’ēl (דָּנִיֵּאל) — Даниил","Dan"
"15","‘Ezrā (עֶזְרָא) א — Ездра","Esr"
"16","‘Ezrā (עֶזְרָא) ב — Неемия","Neh"
"13","Divrei ha-Yamim (דִּבְרֵי הַיָּמִים) א — Паралипоменон 1","1Chr"
"14","Divrei ha-Yamim (דִּבְרֵי הַיָּמִים) ב — Паралипоменон 2","2Chr"
"67","Judit. Юдиф","Jdt"
"68","Weisheit Премудрости Соломона","Weish"
"69","Tobia Товит","Tob"
"70","Sirach Премудрости Иисуса, сына Сираха","Sir"
"71","Baruch Варух","Bar"
"72","1 Makkabäer Маккавей","1Makk"
"73","2 Makkabäer Маккавей","2Makk"
"75","xEsther","xEst"
"74","xDaniel","xDan"
"76","Manasse","Man"
"40","Matthäus","Mt"
"41","Markus","Mk"
"42","Lukas","Lk"
"43","Johannes","Joh"
"44","Apostelgeschichte","Apg"
"45","Römer","Röm"
"46","1 Korinther","1Kor"
"47","2 Korinther","2Kor"
"48","Galater","Gal"
"49","Epheser","Eph"
"50","Philipper","Phil"
"51","Kolosser","Kol"
"52","1 Thessalonicher","1Thes"
"53","2 Thessalonicher","2Thes"
"54","1 Timotheus","1Tim"
"55","2 Timotheus","2Tim"
"56","Titus","Tit"
"57","Philemon","Phim"
"58","Hebräer","Hebr"
"59","Jakobus","Jak"
"60","1 Petrus","1Petr"
"61","2 Petrus","2Petr"
"62","1 Johannes","1Jo"
"63","2 Johannes","2Jo"
"64","3 Johannes","3Jo"
"65","Judas","Jud"
"66","Offenbarung","Offb"
